code_indicateur;libelle_indicateur;description_indicateur;type_donnees_indicateur;granularite_indicateur
K239;pat_fonds_et_acqs_docs_darch_3;Patrimoine – fonds et acquisitions – documents d’archives – fonds (UM);numérique;annuel
K240;pat_fonds_et_acqs_docs_darch_4;Patrimoine – fonds et acquisitions – documents d’archives – acquisitions (UM);numérique;annuel
K241;entrees_par_dons_legs_et_datio;Entrées par dons, legs et dations – oui/non;oui/non;annuel
K242;entrees_par_dons_legs_et_dat_1;Entrées par dons, legs et dations – nombre de documents (UM);numérique;annuel
K303;pat_signalement_livres_impr_no;Patrimoine – Signalement et description – livres imprimés – notices informatisées;numérique;annuel
K309;pat_signalement_livres_impr_de;Patrimoine – Signalement et description – livres imprimés – dont entrés par dépôt légal – notices informatisées;numérique;annuel
K312;pat_signalement_livres_impr_li;Patrimoine – Signalement et description – livres imprimés – dont livres d’artistes – notices informatisées;numérique;annuel
K315;pat_signalement_perios_notices;Patrimoine – Signalement et description – publications en série – notices informatisées;numérique;annuel
K318;pat_signalement_mss_notices_in;Patrimoine – Signalement et description – manuscrits – notices informatisées;numérique;annuel
K321;pat_signalement_docs_darchives;Patrimoine – Signalement et description – documents d’archives – notices informatisées;numérique;annuel
K324;pat_signalement_cartes_notices;Patrimoine – Signalement et description – cartes– notices informatisées;numérique;annuel
K327;pat_signalement_musique_imprim;Patrimoine – Signalement et description – musique imprimée – notices informatisées;numérique;annuel
K330;pat_signalement_docs_graphique;Patrimoine – Signalement et description – documents graphiques – notices informatisées;numérique;annuel
K333;pat_signalement_objets_notices;Patrimoine – Signalement et description – objets – notices informatisées;numérique;annuel
K336;pat_signalement_docs_sonores_s;Patrimoine – Signalement et description – documents sonores sur support – notices informatisées;numérique;annuel
K339;pat_signalement_images_animees;Patrimoine – Signalement et description – images animées – notices informatisées;numérique;annuel
K402;pat_num_livres_impr_total_docs;Patrimoine – Numérisation – livres imprimés – total documents numérisés – vues;numérique;annuel
K403;pat_num_livres_impr_total_do_1;Patrimoine – Numérisation – livres imprimés – total documents numérisés – documents;numérique;annuel
K404;pat_num_livres_impr_annee_vues;Patrimoine – Numérisation – livres imprimés – documents numérisés dans l’année – vues;numérique;annuel
K405;pat_num_livres_impr_annee_docs;Patrimoine – Numérisation – livres imprimés – documents numérisés dans l’année – documents;numérique;annuel
K407;pat_num_perios_total_docs_nume;Patrimoine – Numérisation – publications en série – total documents numérisés – vues;numérique;annuel
K408;pat_num_perios_total_docs_nu_1;Patrimoine – Numérisation – publications en série – total documents numérisés – documents;numérique;annuel
K409;pat_num_perios_annee_vues;Patrimoine – Numérisation – publications en série – documents numérisés dans l’année – vues;numérique;annuel
K410;pat_num_perios_annee_docs;Patrimoine – Numérisation – publications en série – documents numérisés dans l’année – documents;numérique;annuel
K412;pat_num_mss_total_docs_numeris;Patrimoine – Numérisation – manuscrits – total documents numérisés – vues;numérique;annuel
K413;pat_num_mss_total_docs_numer_1;Patrimoine – Numérisation – manuscrits – total documents numérisés – documents;numérique;annuel
K414;pat_num_mss_annee_vues;Patrimoine – Numérisation – manuscrits – documents numérisés dans l’année – vues;numérique;annuel
K415;pat_num_mss_annee_docs;Patrimoine – Numérisation – manuscrits – documents numérisés dans l’année – documents;numérique;annuel
K417;pat_num_docs_darchives_total_d;Patrimoine – Numérisation – documents d’archives – total documents numérisés – vues;numérique;annuel
K418;pat_num_docs_darchives_total_1;Patrimoine – Numérisation – documents d’archives – total documents numérisés – documents;numérique;annuel
K419;pat_num_docs_darchives_annee_v;Patrimoine – Numérisation – documents d’archives – documents numérisés dans l’année – vues;numérique;annuel
K420;pat_num_docs_darchives_annee_d;Patrimoine – Numérisation – documents d’archives – documents numérisés dans l’année – documents;numérique;annuel
K422;pat_num_cartes_total_docs_nume;Patrimoine – Numérisation – cartes – total documents numérisés – vues;numérique;annuel
K423;pat_num_cartes_total_docs_nu_1;Patrimoine – Numérisation – cartes – total documents numérisés – documents;numérique;annuel
K424;pat_num_cartes_annee_vues;Patrimoine – Numérisation – cartes – documents numérisés dans l’année – vues;numérique;annuel
K425;pat_num_cartes_annee_docs;Patrimoine – Numérisation – cartes – documents numérisés dans l’année – documents;numérique;annuel
K427;pat_num_musique_imprimee_total;Patrimoine – Numérisation – musique imprimée – total documents numérisés – vues;numérique;annuel
