code_indicateur;libelle_indicateur;description_indicateur;type_donnees_indicateur;granularite_indicateur
D444;docs_audiov_sup_jeux_videos_su;Documents audiovisuels sur support – Jeux vidéos – Sur support (UM);numérique;annuel
D445;docs_audiov_sup_jeux_video_sup;Documents audiovisuels sur support– Jeux vidéo – Sur support (UM) – Acquisitions;numérique;annuel
D446;docs_audiov_sup_jeux_video_s_1;Documents audiovisuels sur support – Jeux vidéo – Sur support (UM) – Eliminiations;numérique;annuel
D447;docs_audiov_sup_total_docs_s_3;Documents audiovisuels sur support– Total documents sonores – Sur support (UM) – En dépôt de la BDP au 31 décembre 2023;numérique;annuel
D448;docs_audiov_sup_total_docs_s_4;Documents audiovisuels sur support– Total documents sonores – Sur support (UM) – En dépôt de la BDP au 31 décembre 2023;numérique;annuel
D450;la_bib_possede_t_elle_des_fond;La bibliothèque possède-t-elle des fonds de CD ou de DVD ?;oui/non;annuel
D521;ress_num_acq_bq_livres_oui_non;Ressources numériques acquises – bouquets – livres – oui/non;oui/non;annuel
D522;ress_num_acq_bq_livres_nom_des;Ressources numériques acquises – bouquets – livres – nom des offres;texte;annuel
D523;ress_num_acq_bq_livres_enregis;Ressources numériques acquises – bouquets – livres enregistrés – oui/non;oui/non;annuel
D524;ress_num_acq_bq_livres_enreg_1;Ressources numériques acquises – bouquets – livres enregistrés – nom des offres;texte;annuel
D527;ress_num_acq_bq_musique_oui_no;Ressources numériques acquises – bouquets – musique – oui/non;oui/non;annuel
D528;ress_num_acq_bq_musique_nom_de;Ressources numériques acquises – bouquets – musique – nom des offres;texte;annuel
D529;ress_num_acq_bq_video_oui_non;Ressources numériques acquises – bouquets – vidéo – oui/non;oui/non;annuel
D530;ress_num_acq_bq_video_nom_des;Ressources numériques acquises – bouquets – vidéo – nom des offres;texte;annuel
D531;ress_num_acq_bq_presse_oui_non;Ressources numériques acquises – bouquets – presse – oui/non;oui/non;annuel
D532;ress_num_acq_bq_presse_nom_des;Ressources numériques acquises – bouquets – presse – nom des offres;texte;annuel
D533;ress_num_acq_bq_apprentissage;Ressources numériques acquises – bouquets – apprentissage en ligne – oui/non;oui/non;annuel
D534;ress_num_acq_bq_apprentissag_1;Ressources numériques acquises – bouquets – apprentissage en ligne – nom des offres;texte;annuel
D537;ress_num_acq_bq_autres_bq_de_r;Ressources numériques acquises – bouquets – autres bouquets de ressources numériques – oui/non;oui/non;annuel
D538;ress_num_acq_bq_autres_bq_de_1;Ressources numériques acquises – bouquets – autres bouquets de ressources numériques – nom des offres;texte;annuel
D551;la_bib_propose_t_elle_des_ress;La bibliothèque propose-t-elle des ressources numériques via la BD ?;oui/non;annuel
D552;la_bib_propose_t_elle_des_re_1;La bibliothèque propose-t-elle des ressources numériques propres ?;oui/non;annuel
D553;jeux_video_dematerialises_oui;Jeux vidéo dématérialisés - Oui/non;oui/non;annuel
D554;jeux_video_dematerialises_nom;Jeux vidéo dématérialisés - Nom des offres;texte;annuel
D601;la_bib_est_elle_productrice_de;La bibliothèque est-elle productrice de ressources numériques ( hors numérisation patrimoniale) ?;oui/non;annuel
D611;ress_num_prod_musique_enregist;Ressources numériques produites par l’établissement – Musique, enregistrements sonores – oui/non;oui/non;annuel
D613;ress_num_prod_musique_enregi_1;Ressources numériques produites par l’établissement – Musique, enregistrements sonores – nombre de documents produits dans l’année;numérique;annuel
D614;ress_num_prod_video_captations;Ressources numériques produites par l’établissement – Vidéo (dont captations) – oui/non;oui/non;annuel
D616;ress_num_prod_video_captatio_1;Ressources numériques produites par l’établissement – Vidéo (dont captations) – nombre de documents produits dans l’année;numérique;annuel
D620;ress_num_prod_signalement_de_r;Ressources numériques produites par l’établissement – Signalement de ressources gratuites – oui/non;oui/non;annuel
D622;ress_num_prod_signalement_de_1;Ressources numériques produites par l’établissement – Signalement de ressources gratuites – nombre de documents produits dans l’année;numérique;annuel
D626;ress_num_prod_ress_pedagogique;Ressources numériques produites par l’établissement – Ressources pédagogiques – oui/non;oui/non;annuel
D628;ress_num_prod_ress_pedagogiq_1;Ressources numériques produites par l’établissement – Ressources pédagogiques – nombre de documents produits dans l’année;numérique;annuel
D701;collections_adaptees;La bibliothèque propose-t-elle des collections adaptées ?;oui/non;annuel
D702;braille;Braille;oui/non;annuel
D703;ouvrages_en_daisy;Ouvrages en Daisy;oui/non;annuel
D704;revues_en_synthese_vocale;Revues en synthèse vocale;oui/non;annuel
D705;livres_dvd_en_langue_des_signe;Livres-DVD en langue des signes française (LSF);oui/non;annuel
D706;livres_tactiles_ou_en_relief;Livres tactiles ou en relief;oui/non;annuel
D707;autres_collections_adaptees;Autres collections adaptées;oui/non;annuel
D708;livres_en_gros_caracteres;Livres en gros caractères;oui/non;annuel
D709;livres_lus_du_commerce;Livres lus du commerce;oui/non;annuel
D710;livres_num_accessibles;Livres numériques accessibles;oui/non;annuel
E101;particuliers_inscrits_actifs;Usagers – Particuliers – Inscrits actifs;numérique;annuel
E102;particuliers_nouveaux_inscrits;Usagers – Particuliers – dont nouveaux inscrits;numérique;annuel
E103;nombre_d_emprunteurs;Usagers – Particuliers – dont emprunteurs actifs;numérique;annuel
E104;particuliers_enfants_hommes_in;Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Hommes – Inscrits actifs;numérique;annuel
E105;particuliers_enfants_hommes_no;Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Hommes – dont nouveaux inscrits;numérique;annuel
E106;particuliers_enfants_hommes_em;Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Hommes – dont emprunteurs actifs;numérique;annuel
E107;particuliers_enfants_femmes_in;Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Femmes – Inscrits actifs;numérique;annuel
E108;particuliers_enfants_femmes_no;Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Femmes – dont nouveaux inscrits;numérique;annuel
E109;particuliers_enfants_femmes_em;Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Femmes – dont emprunteurs actifs;numérique;annuel
E148;particuliers_enfants_ne_se_pro;Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Ne se prononce pas – Inscrits actifs;numérique;annuel
E149;particuliers_enfants_ne_se_p_1;Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Ne se prononce pas – dont nouveaux inscrits;numérique;annuel
E150;particuliers_enfants_ne_se_p_2;Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Ne se prononce pas – dont emprunteurs actifs;numérique;annuel
E110;particuliers_enfants_total_ins;Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Total – Inscrits actifs;numérique;annuel
E111;particuliers_enfants_total_nou;Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Total – dont nouveaux inscrits;numérique;annuel
E112;particuliers_enfants_total_emp;Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Total – dont emprunteurs actifs;numérique;annuel
E113;particuliers_adultes_hommes_in;Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Hommes – Inscrits actifs;numérique;annuel
E114;particuliers_adultes_hommes_no;Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Hommes – dont nouveaux inscrits;numérique;annuel
E115;particuliers_adultes_hommes_em;Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Hommes – dont emprunteurs actifs;numérique;annuel
E116;particuliers_adultes_femmes_in;Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Femmes – Inscrits actifs;numérique;annuel
E117;particuliers_adultes_femmes_no;Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Femmes – dont nouveaux inscrits;numérique;annuel
E118;particuliers_adultes_femmes_em;Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Femmes – dont emprunteurs actifs;numérique;annuel
E151;particuliers_enfants_ne_se_p_3;Usagers – Particuliers – dont Enfants (de 15 à 64 ans) Ne se prononce pas – Inscrits actifs;numérique;annuel
E152;particuliers_enfants_ne_se_p_4;Usagers – Particuliers – dont Enfants (de 15 à 64 ans) Ne se prononce pas – dont nouveaux inscrits;numérique;annuel
E153;particuliers_enfants_ne_se_p_5;Usagers – Particuliers – dont Enfants (de 15 à 64 ans) Ne se prononce pas – dont emprunteurs actifs;numérique;annuel
E119;particuliers_adultes_total_ins;Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Total – Inscrits actifs;numérique;annuel
E120;particuliers_adultes_total_nou;Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Total – dont nouveaux inscrits;numérique;annuel
E121;particuliers_adultes_total_emp;Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Total – dont emprunteurs actifs;numérique;annuel
E122;particuliers_adultes_65_hommes;Usagers – Particuliers – dont Adultes (de 65 ans et plus) Hommes – Inscrits actifs;numérique;annuel
E123;particuliers_adultes_65_homm_1;Usagers – Particuliers – dont Adultes (de 65 ans et plus) Hommes – dont nouveaux inscrits;numérique;annuel
E124;particuliers_adultes_65_homm_2;Usagers – Particuliers – dont Adultes (de 65 ans et plus) Hommes – dont emprunteurs actifs;numérique;annuel
E125;particuliers_adultes_65_femmes;Usagers – Particuliers – dont Adultes (de 65 ans et plus) Femmes – Inscrits actifs;numérique;annuel
E126;particuliers_adultes_65_femm_1;Usagers – Particuliers – dont Adultes (de 65 ans et plus) Femmes – dont nouveaux inscrits;numérique;annuel
E127;particuliers_adultes_65_femm_2;Usagers – Particuliers – dont Adultes (de 65 ans et plus) Femmes – dont emprunteurs actifs;numérique;annuel
E154;particuliers_enfants_de_65_ans;Usagers – Particuliers – dont Enfants (de 65 ans et plus) Ne se prononce pas – Inscrits actifs;numérique;annuel
E155;particuliers_enfants_de_65_a_1;Usagers – Particuliers – dont Enfants (de 65 ans et plus) Ne se prononce pas – dont nouveaux inscrits;numérique;annuel
E156;particuliers_enfants_de_65_a_2;Usagers – Particuliers – dont Enfants (de 65 ans et plus) Ne se prononce pas – dont emprunteurs actifs;numérique;annuel
E128;particuliers_adultes_65_total;Usagers – Particuliers – dont Adultes (de 65 ans et plus) Total – Inscrits actifs;numérique;annuel
E129;particuliers_adultes_65_tota_1;Usagers – Particuliers – dont Adultes (de 65 ans et plus) Total – dont nouveaux inscrits;numérique;annuel
E130;particuliers_adultes_65_tota_2;Usagers – Particuliers – dont Adultes (de 65 ans et plus) Total – dont emprunteurs actifs;numérique;annuel
E131;particuliers_total_adultes_hom;Usagers – Particuliers – Total adultes Hommes – Inscrits actifs;numérique;annuel
E132;particuliers_total_adultes_h_1;Usagers – Particuliers – Total adultes Hommes – dont nouveaux inscrits;numérique;annuel
E133;particuliers_total_adultes_h_2;Usagers – Particuliers – Total adultes Hommes – dont emprunteurs actifs;numérique;annuel
E134;particuliers_total_adultes_fem;Usagers – Particuliers – Total adultes Femmes – Inscrits actifs;numérique;annuel
E135;particuliers_total_adultes_f_1;Usagers – Particuliers – Total adultes Femmes – dont nouveaux inscrits;numérique;annuel
E136;particuliers_total_adultes_f_2;Usagers – Particuliers – Total adultes Femmes – dont emprunteurs actifs;numérique;annuel
E157;particuliers_total_adultes_ne;Usagers – Particuliers – Total adultes - Ne se prononce pas – Inscrits actifs;numérique;annuel
E158;particuliers_total_adultes_n_1;Usagers – Particuliers – Total adultes - Ne se prononce pas – dont nouveaux inscrits;numérique;annuel
E159;particuliers_total_adultes_n_2;Usagers – Particuliers – Total adultes - Ne se prononce pas – dont emprunteurs actifs;numérique;annuel
E137;particuliers_total_adultes_ins;Usagers – Particuliers – Total adultes – Inscrits actifs;numérique;annuel
E138;particuliers_total_adultes_nou;Usagers – Particuliers – Total adultes – dont nouveaux inscrits;numérique;annuel
E139;particuliers_total_adultes_emp;Usagers – Particuliers – Total adultes – dont emprunteurs actifs;numérique;annuel
E140;particuliers_residents_dans_la;Usagers – Particuliers – dont résidents dans la commune ou les communes adhérentes au réseau – Inscrits actifs;numérique;annuel
E141;particuliers_residents_dans__1;Usagers – Particuliers – dont résidents dans la commune ou les communes adhérentes au réseau – dont nouveaux inscrits;numérique;annuel
E142;particuliers_residents_dans__2;Usagers – Particuliers – dont résidents dans la commune ou les communes adhérentes au réseau – dont emprunteurs actifs;numérique;annuel
E143;usagers_collectivites_nouveaux;Usagers – Collectivités – dont nouveaux inscrits;numérique;annuel
E144;usagers_collectivites_emprunte;Usagers – Collectivités – dont emprunteurs actifs;numérique;annuel
E147;nombre_d_entrees;Usagers – Fréquentation : entrées dans l'établissement;numérique;annuel
E160;si_frequentation_non_connue_se;Si fréquentation non connue - Semaine test 1;numérique;annuel
E161;si_frequentation_non_connue__1;Si fréquentation non connue - Semaine test 2;numérique;annuel
E201;prets_livres_adultes;Prêts – Livres – Adultes;numérique;annuel
E202;prets_livres_enfants;Prêts – Livres – Enfants;numérique;annuel
E203;prets_livres_total;Prêts – Livres –Total;numérique;annuel
E205;prets_perios_imprimees_adultes;Prêts – Publications en série imprimées – Adultes;numérique;annuel
E206;prets_perios_imprimees_enfants;Prêts – Publications en série imprimées – Enfants;numérique;annuel
E207;prets_perios_imprimees_total;Prêts – Publications en série imprimées – Total;numérique;annuel
E211;prets_docs_sonores_musique_tot;Prêts – Documents sonores : musique –Total;numérique;annuel
E213;prets_docs_sonores_livres_adul;Prêts – Documents sonores : livres – Adultes;numérique;annuel
E214;prets_docs_sonores_livres_enfa;Prêts – Documents sonores : livres – Enfants;numérique;annuel
E215;prets_docs_sonores_livres_tota;Prêts – Documents sonores : livres – Total;numérique;annuel
E217;prets_docs_video_adultes;Prêts – Documents vidéo – Adultes;numérique;annuel
E218;prets_docs_video_enfants;Prêts – Documents vidéo – Enfants;numérique;annuel
E219;prets_docs_video_total;Prêts – Documents vidéo – Total;numérique;annuel
E221;prets_autres_docs_adultes;Prêts – Autres documents – Adultes;numérique;annuel
E222;prets_autres_docs_enfants;Prêts – Autres documents – Enfants;numérique;annuel
E223;prets_autres_docs_total;Prêts – Autres documents – Total;numérique;annuel
E235;prets_docs_sonores_total;Prêts – Documents sonores –Total;numérique;annuel
E237;prets_adultes_total;Prêts – Adultes – Total;numérique;annuel
E238;prets_enfants_total;Prêts – Enfants – Total;numérique;annuel
E239;nombre_de_prets;Prêts – Total – Total;numérique;annuel
E241;prets_livres_total_pret_sur_do;Prêts – Livres –Total – Dont prêt sur documents de la BDP;numérique;annuel
E242;prets_docs_sonores_total_pret;Prêts – Documents sonores –Total – Dont prêt sur documents de la BDP;numérique;annuel
E243;prets_docs_video_total_pret_su;Prêts – Documents vidéo –Total – Dont prêt sur documents de la BDP;numérique;annuel
E245;prets_docs_sonores_musique_t_1;Prêts – Documents sonores : musique – Total – Dont prêts sur documents de la BDP;numérique;annuel
E246;prets_docs_sonores_livres_to_1;Prêts – Documents sonores : livres – Total – Dont prêts sur documents de la BDP;numérique;annuel
E247;prets_total_de_jeux_de_societe;Prêts total de jeux de société;numérique;annuel
E248;prets_total_de_jeux_video;Prêts total de jeux vidéo;numérique;annuel
E301;autres_types_usage_consultatio;Autres types d'usage – Consultations sur place;numérique;annuel
E302;autres_types_usage_reservation;Autres types d'usage – Réservations;numérique;annuel
E504;services_et_ress_electroniques;Services et ressources électroniques proposés par la bibliothèque – Catalogue en ligne;oui/non;annuel
E515;services_et_ress_electroniqu_1;Services et ressources électroniques proposés par la bibliothèque – Ressources numériques dont -;oui/non;annuel
E518;services_et_ress_electroniqu_2;Services et ressources électroniques proposés par la bibliothèque – Ressources numériques dont – Publications en série électroniques – Nombre de contenus consultés;oui/non;annuel
E532;services_et_ress_electroniqu_3;Services et ressources électroniques proposés par la bibliothèque – Ressources numériques dont – Livres, encyclopédies, dictionnaires – Nombre de consultations;oui/non;annuel
E534;services_et_ress_electroniqu_4;Services et ressources électroniques proposés par la bibliothèque – Ressources numériques dont – Musique – Nombre de consultations;oui/non;annuel
E536;services_et_ress_electroniqu_5;Services et ressources électroniques proposés par la bibliothèque – Ressources numériques dont – Vidéo – Nombre de consultations;oui/non;annuel
E538;services_et_ress_electroniqu_6;Services et ressources électroniques proposés par la bibliothèque – Ressources numériques dont – Autoformation – Nombre de consultations;oui/non;annuel
E541;services_et_ress_electroniqu_7;Services et ressources électroniques proposés par la bibliothèque – Présence en ligne –Réseaux sociaux;oui/non;annuel
E542;services_et_ress_electroniqu_8;Services et ressources électroniques proposés par la bibliothèque – Présence en ligne – Si oui, lesquels;texte;annuel
E544;nb_de_visite_du_site_internet;Nombre de visite du site internet;numérique;annuel
F101;depenses_investissement_total;Dépenses d'investissement – Total des dépenses;numérique;annuel
F102;depenses_investissement_terrai;Dépenses d'investissement – Terrains, bâtiments;numérique;annuel
F103;depenses_investissement_inform;Dépenses d'investissement – Informatique (matériel et logiciels);numérique;annuel
F104;depenses_investissement_vehicu;Dépenses d'investissement – Véhicules;numérique;annuel
F105;depenses_investissement_autres;Dépenses d'investissement – Autres (mobilier, équipements);numérique;annuel
F106;depenses_investissement_docs;Dépenses d'investissement – Documents;numérique;annuel
F201;depenses_de_fonctionnement_dep;Dépenses de fonctionnement – Dépenses pour le personnel – Dépense totale;numérique;annuel
F204;defraiement_benevoles;Défraiement bénévoles;numérique;annuel
F314;depenses_de_fonctionnement_d_1;Dépenses de fonctionnement – Dépenses d'acquisitions documentaires – Dépense totale;numérique;annuel
F401;pat_depenses_dacquisition_et_d;Patrimoine – Dépenses d’acquisition et d’entretien des collections patrimoniales – Reliure, conservation préventive et curative;numérique;annuel
F402;pat_depenses_dacquisition_et_1;Patrimoine – Dépenses d’acquisition et d’entretien des collections patrimoniales – Conversion sur support matériel;numérique;annuel
F403;pat_depenses_dacquisition_et_2;Patrimoine – Dépenses d’acquisition et d’entretien des collections patrimoniales – Numérisation;numérique;annuel
F502;depenses_action_culturelle;Dépenses de fonctionnement – Dépenses spécifiques – Action culturelle;numérique;annuel
F504;depenses_de_fonctionnement_d_3;Dépenses de fonctionnement – Dépenses spécifiques – Dépenses informatiques;numérique;annuel
F507;depenses_de_fonctionnement_d_4;Dépenses de fonctionnement – Dépenses spécifiques – Équipement des documents;numérique;annuel
F508;depenses_de_fonctionnement_d_5;Dépenses de fonctionnement – Dépenses spécifiques – Communication;numérique;annuel
F601;recettes_ress_propres_et_subve;Recettes – Ressources propres et subventions – Subventions d’origine publique;numérique;annuel
F602;recettes_ress_propres_et_sub_1;Recettes – Ressources propres et subventions – Autres ressources d'origine privée (sociétés, particuliers, …);numérique;annuel
F603;recettes_ress_propres_et_sub_2;Recettes – Ressources propres et subventions – Recettes propres;numérique;annuel
F604;recettes_ress_propres_et_sub_3;Recettes – Ressources propres et subventions – Recettes propres – droits d'inscription;numérique;annuel
F605;recettes_ress_propres_et_sub_4;Recettes – Ressources propres et subventions – Recettes propres – droits d'usage pour les services de la bibliothèque;numérique;annuel
F606;dispositifs_etat;Dispositifs d'Etat;texte;annuel
F701;deps_acqs_docs_docs_impr_et_su;Dépenses globales détaillées d'acquisition documentaire – Documents imprimés et sur support --Livres imprimés;numérique;annuel
F702;deps_acqs_docs_ress_num_livres;Dépenses globales détaillées d'acquisition documentaire – Ressources numériques – Livres, livres lus, dictionnaires, encyclopédies;numérique;annuel
F703;deps_acqs_docs_docs_impr_et__1;Dépenses globales détaillées d'acquisition documentaire – Documents imprimés et sur support – Publications en série imprimées;numérique;annuel
F704;deps_acqs_docs_ress_num_period;Dépenses globales détaillées d'acquisition documentaire – Ressources numériques – Périodiques, presse;numérique;annuel
F705;deps_acqs_docs_docs_impr_et__2;Dépenses globales détaillées d'acquisition documentaire – Documents imprimés et sur support – Documents sonores sur support;numérique;annuel
F706;deps_acqs_docs_ress_num_musiqu;Dépenses globales détaillées d'acquisition documentaire – Ressources numériques – Musique;numérique;annuel
F707;deps_acqs_docs_docs_impr_et__3;Dépenses globales détaillées d'acquisition documentaire – Documents imprimés et sur support – Documents vidéo sur support;numérique;annuel
F708;deps_acqs_docs_ress_num_video;Dépenses globales détaillées d'acquisition documentaire – Ressources numériques – Vidéo;numérique;annuel
F709;deps_acqs_docs_docs_impr_et__4;Dépenses globales détaillées d'acquisition documentaire – Documents imprimés et sur support – Autres documents non électroniques;numérique;annuel
F710;deps_acqs_docs_docs_impr_et__5;Dépenses globales détaillées d'acquisition documentaire – Documents imprimés et sur support – Jeux vidéo sur support;numérique;annuel
F712;deps_acqs_docs_docs_impr_et__6;Dépenses globales détaillées d'acquisition documentaire – Documents imprimés et sur support – Total documents imprimés et sur support;numérique;annuel
F713;deps_acqs_docs_ress_num_total;Dépenses globales détaillées d'acquisition documentaire – Ressources numériques –Total ressources numériques;numérique;annuel
F714;depenses_documentaires;Dépenses globales détaillées d'acquisition documentaire – Total;numérique;annuel
F715;deps_acqs_docs_ress_num_autofo;Dépenses globales détaillées d'acquisition documentaire – Ressources numériques – Autoformation;numérique;annuel
F716;deps_acqs_docs_ress_num_autres;Dépenses globales détaillées d'acquisition documentaire – Ressources numériques – Autres ressources;numérique;annuel
F717;depenses_jeux_de_societe;Dépenses jeux de société;numérique;annuel
F718;participation_financiere_ress;Participation financière ressources en ligne BD;numérique;annuel
F801;type_de_marche;Type de marché;texte;annuel
F802;ce_marche_a_t_il_ete_passe;Ce marché a-t-il été passé;texte;annuel
F803;duree_du_marche;Durée totale du marché;numérique;annuel
F828;montant_total_du_marche;Montant total du marché;numérique;annuel
G101;personnel_pers_total;Personnel – Personnes – Total;numérique;annuel
G102;etp_salaries;Personnel – Total salariés ETPT;numérique;annuel
G103;personnel_pros_de_la_filiere_c;Personnel – Professionnels de la filière culture – Personnes – Conservateurs;numérique;annuel
G104;personnel_pros_de_la_filiere_1;Personnel – Professionnels de la filière culture – ETPT – Conservateurs;numérique;annuel
G105;personnel_pros_de_la_filiere_2;Personnel – Professionnels de la filière culture – Personnes – Bibliothécaires ou attachés de conservation;numérique;annuel
G106;personnel_pros_de_la_filiere_3;Personnel – Professionnels de la filière culture – ETPT – Bibliothécaires ou attachés de conservation;numérique;annuel
G111;personnel_pros_de_la_filiere_4;Personnel – Professionnels de la filière culture – Personnes – Adjoints du patrimoine;numérique;annuel
G112;personnel_pros_de_la_filiere_5;Personnel – Professionnels de la filière culture – ETPT – Adjoints du patrimoine;numérique;annuel
G114;personnel_fp_autres_filieres_p;Personnel – Fonction publique autres filières – Personnes – Catégorie A;numérique;annuel
G115;personnel_fp_autres_filieres_e;Personnel – Fonction publique autres filières – ETPT – Catégorie A;numérique;annuel
G116;personnel_fp_autres_filieres_1;Personnel – Fonction publique autres filières – Personnes – Catégorie A – dont qualifiés;numérique;annuel
G117;personnel_fp_autres_filieres_2;Personnel – Fonction publique autres filières – Personnes – Catégorie B;numérique;annuel
G118;personnel_fp_autres_filieres_3;Personnel – Fonction publique autres filières – ETPT – Catégorie B;numérique;annuel
G120;personnel_fp_autres_filieres_4;Personnel – Fonction publique autres filières – Personnes – Catégorie C;numérique;annuel
G121;personnel_fp_autres_filieres_5;Personnel – Fonction publique autres filières – ETPT – Catégorie C;numérique;annuel
G129;nombre_de_benevoles;Personnel – Bénévoles;numérique;annuel
G130;personnel_benevoles_qualifies;Personnel – Bénévoles – dont qualifiés;numérique;annuel
G131;temps_de_travail_des_benevoles;Personnel – Bénévoles –« ETPT »;numérique;annuel
G132;personnel_etpt_total;Personnel –ETPT – Total;numérique;annuel
G133;personnel_pros_de_la_filiere_6;Personnel – Professionnels de la filière culture – Personnes – Assistants territoriaux de conservation;numérique;annuel
G134;personnel_pros_de_la_filiere_7;Personnel – Professionnels de la filière culture –ETPT– Assistants territoriaux de conservation;numérique;annuel
G135;nombre_de_salaries;Personnel – Total salariés – Personnes;numérique;annuel
G136;personnel_pros_de_la_filiere_8;Personnel – Professionnels de la filière culture – ETPT – Adjoints du patrimoine – dont qualifiés;numérique;annuel
G137;personnel_fp_autres_filieres_6;Personnel – Fonction publique autres filières – ETPT – Catégorie A – dont qualifiés;numérique;annuel
G138;personnel_fp_autres_filieres_7;Personnel – Fonction publique autres filières – ETPT – Catégorie B – dont qualifiés;numérique;annuel
G139;personnel_fp_autres_filieres_8;Personnel – Fonction publique autres filières – ETPT – Catégorie C – dont qualifiés;numérique;annuel
G142;personnel_personnel_benevoles;Personnel – Personnel – Bénévoles – dont qualifiés (ETPT);numérique;annuel
G143;une_partie_au_moins_du_personn;Une partie au moins du personnel est-elle salariée ?;oui/non;annuel
G1XX;categ_a_total_pers;Catégorie A total - Personnes;numérique;annuel
G1XX;categ_a_total_etp;Catégorie A total - ETP;numérique;annuel
G146;categ_a_non_titulaires;Catégorie A – non-titulaires;numérique;annuel
G1XX;categ_a_total_non_titulaires_e;Catégorie A total - dont non-titulaires ETP;numérique;annuel
G1XX;categ_b_total_pers;Catégorie B total - Personnes;numérique;annuel
G1XX;categ_b_total_etp;Catégorie B total - ETP;numérique;annuel
G147;categ_b_non_titulaires;Catégorie B – non-titulaires;numérique;annuel
G1XX;categ_b_total_non_titulaires_e;Catégorie B total - dont non-titulaires ETP;numérique;annuel
G1XX;categ_c_total_pers;Catégorie C total - Personnes;numérique;annuel
G1XX;categ_c_total_etp;Catégorie C total - ETP;numérique;annuel
G148;categ_c_non_titulaires;Catégorie C – non-titulaires;numérique;annuel
G1XX;categ_c_total_non_titulaires_e;Catégorie C total - dont non-titulaires ETP;numérique;annuel
G144;vacataires_pers;Vacataires - Personnes;numérique;annuel
G145;vacataires_etp;Vacataires - ETP;numérique;annuel
G149;postes_de_categ_a_non_occupes;Postes de catégorie A non occupés plus de 6 mois dans l'année;numérique;annuel
G150;postes_de_categ_b_non_occupes;Postes de catégorie B non occupés plus de 6 mois dans l'année;numérique;annuel
G151;postes_de_categ_c_non_occupes;Postes de catégorie C non occupés plus de 6 mois dans l'année;numérique;annuel
G152;nb_pers_hors_filiere_culturell;Nb personnes hors filière culturelle de catégorie A+;numérique;annuel
G153;nb_pers_hors_filiere_culture_1;Nb personnes hors filière culturelle de catégorie A;numérique;annuel
G154;nb_pers_hors_filiere_culture_2;Nb personnes hors filière culturelle de catégorie B;numérique;annuel
G155;nb_pers_hors_filiere_culture_3;Nb personnes hors filière culturelle de catégorie C;numérique;annuel
G156;nb_postes_pers_de_categ_a_a;Nb postes/personnes de catégorie A/A+;numérique;annuel
G157;nb_postes_pers_de_categ_b;Nb postes/personnes de catégorie B;numérique;annuel
G158;nb_postes_pers_de_categ_c;Nb postes/personnes de catégorie C;numérique;annuel
G1XX;etp_adjoint_du_pat_non_occupe;ETP Adjoint du patrimoine non-occupé plus de 6 mois dans l'année;numérique;annuel
G211;formation_du_personnel_nb_de_j;Formation – Formation du personnel – Nombre de jours;numérique;annuel
G202;formation_du_personnel_nb_de_p;Formation – Formation du personnel – Nombre de personnes formées;numérique;annuel
G213;formation_des_acteurs_du_tiers;Formation – Formation des acteurs du tiers réseau – Nombre de jours;numérique;annuel
G204;formation_des_acteurs_du_tie_1;Formation – Formation des acteurs du tiers réseau – Nombre de personnes formées;numérique;annuel
G205;formation_professionnelle_nb_d;Formation – Formation professionnelle – Nombre de jours;numérique;annuel
G206;formation_professionnelle_nb_1;Formation – Formation professionnelle – Nombre de participants;numérique;annuel
G207;formations_dispensees_par_le_p;Formation – Formations dispensées par le personnel – Nombre de jours;numérique;annuel
H101;part_et_coop_institutions_ecol;Partenariat et coopération – Institutions – Établissements scolaires et universitaires – Écoles;oui/non;annuel
H102;part_et_coop_institutions_ec_1;Partenariat et coopération – Institutions – Établissements scolaires et universitaires – Écoles – Nombre de classes;numérique;annuel
H103;part_et_coop_institutions_ec_2;Partenariat et coopération – Institutions – Établissements scolaires et universitaires – Écoles – Estimation de la population touchée;numérique;annuel
H104;part_et_coop_institutions_coll;Partenariat et coopération – Institutions – Établissements scolaires et universitaires – Collèges;oui/non;annuel
H105;part_et_coop_institutions_co_1;Partenariat et coopération – Institutions – Établissements scolaires et universitaires – Collèges – Nombre de classes;numérique;annuel
